index,continent,CNT1,PV1MATH,ST57Q01
"(-5.95, -4.573](-1.819, -0.441]",Europe,Austria,503.104304172,4.61146228403
"(-5.95, -4.573](-1.819, -0.441]",Europe,Belgium,514.291316632,5.30775154004
"(-5.95, -4.573](-1.819, -0.441]",Europe,Bulgaria,439.777359646,5.58037922506
"(-5.95, -4.573](-1.819, -0.441]",Europe,Croatia,465.492496165,5.92505277973
"(-5.95, -4.573](-1.819, -0.441]",Europe,Czech Republic,517.335698474,3.34586746091
"(-5.95, -4.573](-1.819, -0.441]",Europe,Denmark,474.577141182,4.4786509901
"(-5.95, -4.573](-1.819, -0.441]",Europe,Estonia,514.553740677,7.02557755776
"(-5.95, -4.573](-1.819, -0.441]",Europe,Finland,497.728070595,3.06189189189
"(-5.95, -4.573](-1.819, -0.441]",Europe,France,497.682331695,5.14577259475
"(-5.95, -4.573](-1.819, -0.441]",Europe,Germany,513.195158462,4.8510989011
"(-5.95, -4.573](-1.819, -0.441]",Europe,Greece,444.537097212,5.16895547233
"(-5.95, -4.573](-1.819, -0.441]",Europe,Hungary,478.866034041,6.34630503145
"(-5.95, -4.573](-1.819, -0.441]",Europe,Iceland,481.058830068,4.16779825412
"(-5.95, -4.573](-1.819, -0.441]",Europe,Ireland,491.844146781,7.52357523575
"(-5.95, -4.573](-1.819, -0.441]",Europe,Italy,486.410810623,8.33163594173
"(-5.95, -4.573](-1.819, -0.441]",Europe,Latvia,493.79599299,6.53251689189
"(-5.95, -4.573](-1.819, -0.441]",Europe,Lithuania,475.41415837,6.73063026897
"(-5.95, -4.573](-1.819, -0.441]",Europe,Luxembourg,476.502047041,4.51114922813
"(-5.95, -4.573](-1.819, -0.441]",Europe,Montenegro,405.368980875,4.39476910503
"(-5.95, -4.573](-1.819, -0.441]",Europe,Netherlands,516.539134875,5.93015726179
"(-5.95, -4.573](-1.819, -0.441]",Europe,Norway,486.640315079,4.80529100529
"(-5.95, -4.573](-1.819, -0.441]",Europe,Poland,507.940471565,6.67911996679
"(-5.95, -4.573](-1.819, -0.441]",Europe,Portugal,477.940279174,3.75511669659
"(-5.95, -4.573](-1.819, -0.441]",Europe,Romania,444.350172352,7.29371633752
"(-5.95, -4.573](-1.819, -0.441]",Europe,Russia,486.073773703,9.78841309824
"(-5.95, -4.573](-1.819, -0.441]",Europe,Serbia,443.406239762,4.53767403767
"(-5.95, -4.573](-1.819, -0.441]",Europe,Slovakia,480.85227606,3.67860508954
"(-5.95, -4.573](-1.819, -0.441]",Europe,Slovenia,481.137945028,3.68406205924
"(-5.95, -4.573](-1.819, -0.441]",Europe,Spain,488.639967282,6.13827218197
"(-5.95, -4.573](-1.819, -0.441]",Europe,Sweden,473.511471361,3.58601134216
"(-5.95, -4.573](-1.819, -0.441]",Europe,Switzerland,512.852659515,4.09202782236
"(-5.95, -4.573](-1.819, -0.441]",Europe,Turkey,447.864126405,4.26937146658
"(-5.95, -4.573](-1.819, -0.441]",Europe,UK,481.590918466,4.87443343965
"(-5.95, -4.573](-1.819, -0.441]",North America,Canada,499.195452282,4.75014300423
"(-5.95, -4.573](-1.819, -0.441]",North America,Mexico,417.857397417,5.353523254
"(-5.95, -4.573](-1.819, -0.441]",North America,USA,466.796437269,5.94654358094
"(-5.95, -4.573](-1.819, -0.441]",Oceania,Australia,496.676935525,5.93503844343
"(-5.95, -4.573](-1.819, -0.441]",Oceania,New Zealand,503.61306109,4.42381870781
"(-5.95, -4.573](-1.819, -0.441]",South America,Argentina,400.166861021,3.74680924457
"(-5.95, -4.573](-1.819, -0.441]",South America,Brazil,383.844581394,3.49373246024
"(-5.95, -4.573](-1.819, -0.441]",South America,Chile,422.400474568,3.58731739708
"(-5.95, -4.573](-1.819, -0.441]",South America,Colombia,390.158223409,5.37465833659
