"Daily Time Detail -- Hard Skills in Data Science"
"04 de outubro de 2014 to 16 de agosto de 2015"

"SEXTA-FEIRA, 6 DE MARÇO"
Hard Skills in Data Science,1:37,2:51,1:15,""
Hard Skills in Data Science,20:55,20:58,0:04,""
Total,1:19

"SÁBADO, 7 DE MARÇO"
Hard Skills in Data Science,15:54,19:30,3:36,""
Total,3:36

"DOMINGO, 8 DE MARÇO"
Hard Skills in Data Science,22:15,23:59,1:45,""
Total,1:45

"SEGUNDA-FEIRA, 9 DE MARÇO"
Hard Skills in Data Science,0:00,1:30,1:30,""
Total,1:30

"TERÇA-FEIRA, 10 DE MARÇO"
Hard Skills in Data Science,1:30,2:41,1:12,""
Total,1:12

"QUARTA-FEIRA, 11 DE MARÇO"
Hard Skills in Data Science,0:30,1:45,1:15,""
Hard Skills in Data Science,23:21,23:45,0:24,""
Total,1:39

"QUINTA-FEIRA, 12 DE MARÇO"
Hard Skills in Data Science,0:30,1:45,1:15,""
Hard Skills in Data Science,23:45,23:59,0:15,""
Total,1:30

"SEXTA-FEIRA, 13 DE MARÇO"
Hard Skills in Data Science,0:00,1:55,1:54,""
Hard Skills in Data Science,23:57,23:59,0:02,""
Total,1:57

"SÁBADO, 14 DE MARÇO"
Hard Skills in Data Science,0:00,0:15,0:15,""
Hard Skills in Data Science,0:45,2:44,1:59,""
Total,2:14

"DOMINGO, 15 DE MARÇO"
Hard Skills in Data Science,15:16,16:30,1:14,""
Total,1:14

"SEGUNDA-FEIRA, 16 DE MARÇO"
Hard Skills in Data Science,0:02,1:14,1:11,""
Hard Skills in Data Science,23:58,23:59,0:01,""
Total,1:13

"TERÇA-FEIRA, 17 DE MARÇO"
Hard Skills in Data Science,0:00,1:49,1:49,""
Total,1:49

"QUARTA-FEIRA, 18 DE MARÇO"
Hard Skills in Data Science,1:00,1:48,0:49,""
Hard Skills in Data Science,3:04,3:22,0:17,""
Total,1:06

"QUINTA-FEIRA, 19 DE MARÇO"
Hard Skills in Data Science,1:44,2:46,1:02,""
Total,1:02

"SEXTA-FEIRA, 20 DE MARÇO"
Hard Skills in Data Science,3:00,4:00,1:00,""
Total,1:00

"SÁBADO, 21 DE MARÇO"
Hard Skills in Data Science,15:28,16:20,0:52,""
Total,0:52

"DOMINGO, 22 DE MARÇO"
Hard Skills in Data Science,13:42,14:42,1:01,""
Total,1:01

"SEGUNDA-FEIRA, 23 DE MARÇO"
[No entries]

"TERÇA-FEIRA, 24 DE MARÇO"
Hard Skills in Data Science,0:54,2:15,1:20,""
Total,1:20

"QUARTA-FEIRA, 25 DE MARÇO"
Hard Skills in Data Science,1:09,1:10,0:00,""
Hard Skills in Data Science,1:10,2:25,1:15,""
Total,1:15

"QUINTA-FEIRA, 26 DE MARÇO"
Hard Skills in Data Science,1:19,2:30,1:11,""
Total,1:11

"SEXTA-FEIRA, 27 DE MARÇO"
[No entries]

"SÁBADO, 28 DE MARÇO"
Hard Skills in Data Science,11:18,14:38,3:20,""
Total,3:20

"DOMINGO, 29 DE MARÇO"
Hard Skills in Data Science,15:15,16:23,1:08,""
Hard Skills in Data Science,22:21,23:42,1:21,""
Total,2:29

"SEGUNDA-FEIRA, 30 DE MARÇO"
Hard Skills in Data Science,2:22,3:31,1:09,""
Total,1:09

"TERÇA-FEIRA, 31 DE MARÇO"
[No entries]

"QUARTA-FEIRA, 1 DE ABRIL"
Hard Skills in Data Science,0:26,1:32,1:06,""
Hard Skills in Data Science,1:39,2:15,0:36,""
Total,1:42

"QUINTA-FEIRA, 2 DE ABRIL"
[No entries]

"SEXTA-FEIRA, 3 DE ABRIL"
[No entries]

"SÁBADO, 4 DE ABRIL"
Hard Skills in Data Science,2:00,3:45,1:45,""
